id,answer
1,forgotten theatre
2,attack
3,0
4,0
5,0
6,initial agreement
7,Nicholas
8,0
9,0
10,officially declared war
11,A massive new fleet
12,The war opened
13,A massive new fleet
14,Silistra
15,0
16,allied force decided
17,:201
18,rebuffed
19,Omar Pasha
20,retreated
21,Turkish
22,0
23,The war
24,30
25,0
26,one
27,Florence Nightingale
28,documented extensively
29,1854
30,Sultan Mahmud II
31,15
32,0
33,1830
34,1830
35,powerful vassal
36,0
37,sultan
38,:430
39,control
40,0
41,24
42,Muhammad Ali
43,1840
44,0
45,The war
46,1848
47,Nicholas
48,British
49,expanding southwards across
50,squadron entered
51,0
52,0
53,New Russia
54,grand ambitions toward
55,A massive new fleet
56,A massive new fleet
57,1853
58,Ottomans
59,Marquis Charles de La Valette
60,Catholic
61,appointed
62,line
63,Charlemagne
64,Austria
65,0
66,0
67,0
68,0
69,Menshikov
70,1853
71,Menshikov
72,February
73,0
74,0
75,Constantinople
76,0
77,However
78,Mikhail Gorchakov
79,0
80,"80,000"
81,However
82,0
83,0
84,Austria
85,28
86,Count Karl von Buol
87,5
88,Abdülmecid
89,0
90,Sinop
91,fleet
92,corvettes
93,provided
94,1854
95,Mahmud II
96,Burgoyne
97,Paris
98,Cowley
99,Cowley
100,1848
101,Nicholas
102,0
103,0
104,allow
105,0
106,Omar Pasha
107,crossed
108,crossed
109,Chetatea
110,0
111,province
112,Danube
113,1854
114,lack
115,0
116,presence
117,River Pruth
118,0
119,entered
120,'s western coast
121,Omar Pasha
122,7
123,7
124,withdrawal
125,A massive new fleet
126,harbour
127,0
128,HMS Retribution
129,Sevastopol
130,lost
131,scuttling
132,four 60-gun
133,four 60-gun
134,1854
135,degree
136,George Hamilton-Gordon
137,1854
138,Crimean
139,500
140,Calamita Bay
141,Katcha
142,1000
143,Alma
144,:424
145,350
146,A massive new fleet
147,25
148,retreated
149,A massive new fleet
150,Raglan
151,He started
152,He started
153,A postponement
154,0
155,0
156,0
157,posted north
158,Commanding
159,0
160,Commanding
161,0
162,Raglan
163,Both sides withdrew
164,0
165,0
166,0
167,0
168,Alfred Lord Tennyson
169,famous poem
170,halt
171,allied transport ships including
172,allied transport ships including
173,civilian engineering crew
174,An Electrical
175,A massive new fleet
176,built
177,located
178,Several
179,0
180,30
181,reverse policy
182,0
183,0
184,new fort
185,Wallachia
186,0
187,0
188,0
189,undermine
190,Azov Sea
191,warships entered
192,armed steamers attacked
193,armed steamers attacked
194,grounded near
195,0
196,made
197,The allied fleet left
198,lifted
199,0
200,20000
201,0
202,30000
203,Both sides withdrew
204,Russians
205,0
206,center
207,Both sides withdrew
208,0
209,artillery units
210,Turkish
211,0
212,A second counterattack
213,He therefore decided
214,0
215,landed
216,8000
217,separates
218,April
219,Saint Petersburg
220,close
221,Russian
222,1854
223,another attempt
224,1855
225,destroyed
226,Viktor Poplonsky
227,Captain
228,credited
229,A massive new fleet
230,industrial explosives
231,A massive new fleet
232,civil engineer
233,A massive new fleet
234,snow
235,Mamelon
236,Alfonso La Marmora
237,expeditionary corps
238,Victor Emmanuel II
239,The goal
240,Piedmont-Sardinia
241,1853
242,:32–40
243,Piraeus
244,1854
245,0
246,St. Martin-in-the-Field
247,police acting
248,gathered
249,0
250,became prime minister
251,signing
252,signing
253,0
254,0
255,August
256,signing
257,Franco-Prussian War
258,1870–1871
259,Emperor
260,Otto von Bismarck
261,0
262,anything
263,0
264,A massive new fleet
265,:411
266,photographed
267,A. W
268,A. W
269,Winfried Baumgart
270,feared losing
271,nearby
272,Alexander II
273,Alexander II
274,0
275,William Howard Russell
276,writing
277,Roger Fenton
278,0
279,winter
280,0
281,1857
282,iconic symbol
283,modern inventions
284,William Howard Russell
285,prompting
286,due
287,0
288,consists
289,nine
290,longest coastline
291,0
292,consists
293,The occupation brought
294,0
295,second
296,0
297,years
298,also
299,Roman heroes
300,2001
301,0
302,OECD
303,Turkey
304,Tsakonian
305,Though dates
306,0
307,"270,000"
308,"270,000"
309,three
310,represented
311,Neolithic
312,0
313,Europe
314,around
315,around
316,written records
317,one
318,Iliad
319,traditionally dated
320,Southern Italy
321,Modern democracies owe
322,predominantly
323,mainland
324,The names
325,Undefeated
326,A second invasion
327,431–404
328,frequent conflict
329,devastating intra-Greek war
330,The occupation brought
331,Philip
332,0
333,0
334,'s defeat
335,146
336,168
337,emperors maintained
338,'s famous statement
339,Nero
340,Seneca
341,culture
342,form
343,Muslim
344,0
345,emperor
346,eponymous archon
347,0
348,Empire
349,Following
350,advance meant
351,8th
352,Snowfalls occur every
353,evolved
354,Greek cuisine differs widely
355,1261
356,much
357,imperial capital
358,peninsula
359,advance meant
360,Ottomans
361,15th
362,0
363,control
364,1797
365,0
366,Cyprus
367,end
368,Islam
369,entire
370,faced several types
371,1571
372,1684–1699
373,Peloponnesian
374,Peloponnesian
375,revolution
376,This ushered
377,These merchants came
378,Rigas Feraios
379,1798
380,Filiki Eteria
381,Filiki Eteria
382,Filiki Eteria
383,Though
384,Greek War
385,1821
386,Theodoros Kolokotronis
387,achieving success
388,0
389,two
390,Ibrahim Pasha
391,Greece
392,1825
393,Athens
394,navy
395,Greek
396,number
397,0
398,1994
399,Ministry
400,trial
401,Many
402,19th-century
403,1877
404,Peloponnesian
405,1881
406,country
407,two
408,1917
409,508
410,Following
411,Turkey
412,1994
413,1914-1922
414,0
415,1.5 million
416,term ``
417,0
418,abolished via
419,Following
420,Georgios Kondylis
421,0
422,Following
423,The occupation brought
424,0
425,The occupation brought
426,0
427,Andreas Papandreou
428,beginning
429,1980
430,improved
431,European Communities
432,Mycenaean Greece
433,5th
434,longest coastline
435,top
436,mountain range
437,ft
438,dominated
439,lies
440,World Records
441,Athens
442,0
443,Turkey
444,Greece
445,Crete
446,resisted
447,country
448,mountain range strongly affects
449,Situated
450,heavy snowfalls
451,Thrace
452,Located
453,government
454,0
455,economies combined
456,dishes
457,Phytogeographically
458,unitary parliamentary republic
459,Olympiacos
460,The nominal head
461,Hadrian
462,Women 's suffrage
463,0
464,0
465,formally appoints
466,0
467,300-member
468,Parliamentary elections
469,Statutes passed
470,country
471,parliamentary elections
472,0
473,The coalition government led
474,formation
475,0
476,0
477,conducted
478,one
479,churches
480,universal compulsory military service
481,universal compulsory military service
482,Greece
483,serve part-time
484,thirteen
485,thirteen
486,programme reform entered
487,also
488,Greek
489,economies combined
490,largest
491,national economic output
492,18
493,European Union
494,largest
495,number-two foreign investor
496,number-two foreign investor
497,number-two foreign investor
498,telecommunications company
499,largest
500,founding member
501,19
502,2001
503,'s territory
504,repatriated back
505,According
506,get registered
507,''
508,Meanwhile
509,4th
510,ranks first
511,The vast majority
512,2007
513,The vast majority
514,Northern Greece
515,The vast majority
516,International railway lines connect
517,The current minister
518,Larissa
519,2015
520,340
521,among
522,European Space Agency
523,1994
524,2003
525,European Space Agency
526,European Space Agency
527,Nicholas Negroponte
528,0
529,contributions
530,Pap
531,Pap
532,Further minority languages
533,Thrace
534,Muslim
535,Turks
536,"50,000"
537,"50,000"
538,120
539,120
540,"28,874"
541,20th
542,20th
543,evolved naturally
544,Greek
545,form
546,distinct
547,Asia Minor
548,endangered
549,distinct
550,The refugees also made
551,Further minority languages
552,Christian Roma
553,also known
554,Slavic–speaking
555,"400,000"
556,traditionally spoke
557,regardless
558,non-citizen residents
559,non-citizen residents
560,0
561,In addition
562,major entry point
563,Afghanistan
564,reinforcements
565,0
566,Aegean Sea
567,Greeks
568,Capodistrian University
569,1453
570,'s post-compulsory secondary education consists
571,'s post-compulsory secondary education consists
572,unclassified level
573,unclassified level
574,35492007
575,also
576,third
577,Hellenic Open University
578,Athens
579,universal health care
580,overall performance
581,state
582,138
583,Ministry
584,birthplace
585,modern
586,Western
587,pioneered
588,following
589,times
590,beginning
591,καντάδα became
592,founding nation
593,place
594,Spyridon Xyndas
595,important disciple
596,sought
597,later laïkó song
598,founders
599,monumental works
600,monumental works
601,Sappho
602,0
603,1896
604,1896
605,production
606,sixty
607,Chloe
608,many
609,considered
610,Grigoris Grigoriou
611,Grigoris Grigoriou
612,Nikos Koundouros
613,written
614,Theo Angelopoulos
615,Day
616,0
617,healthy
618,Crete
619,birthplace
620,Olive oil
621,Sweet desserts
622,often
623,combination
624,Greek vocal music extends far back
625,Instruments
626,six
627,type
628,music remained monophonic
629,music remained monophonic
630,people
631,people
632,dirges express
633,influencing
634,so-called
635,influencing
636,music associated
637,later laïkó song
638,genre include
639,western rule
640,1815
641,Manolis Kalomiris
642,Iannis Xenakis
643,American
644,Yanni
645,Maria Callas
646,35
647,35
648,1974
649,0
650,1974
651,times
652,393
653,The last recorded
654,Greece
655,32nd
656,12th
657,2004
658,one
659,eighteen
660,0
661,decades-long tradition
662,2nd
663,2005
664,0
665,The domestic top basketball league
666,2011
667,third
668,'s national water polo team became
669,third
670,0
671,two
672,5th
673,domestic titles
674,0
675,The principal gods
676,Greek
677,Greek
678,king
679,0
680,public holiday
681,0
682,eleven
683,Sunday
684,ranked
685,53
686,2013
687,€3 billion
688,largest
689,``
690,'s empire could
691,invaded
692,330
693,``
694,bit-rate reduction involves encoding information using fewer bits
695,Compression
696,Lossless compression reduces bits
697,referred
698,The process
699,useful
700,option
701,space–time complexity trade-off
702,The design
703,Lossless data compression algorithms usually exploit statistical redundancy
704,Lossless data compression algorithms usually exploit statistical redundancy
705,colour
706,LZ
707,DEFLATE
708,algorithm
709,Current
710,LZX
711,coupled
712,techniques
713,distinct representations
714,Lossy data compression
715,data source
716,rounding
717,audio compression
718,psychoacoustics
719,speech coding
720,Voice compression
721,decoded
722,close connection
723,LPC
724,justification
725,relative entropy corresponding
726,patching producing
727,consider data compression
728,dynamic range compression
729,implemented
730,Lossy audio compression algorithms provide higher compression
731,exact digital duplicate
732,Lossless compression
733,50–60
734,wide range
735,digital television
736,Lossy compression typically achieves far greater compression
737,perceptual importance
738,effects
739,frequency—and
740,Compression
741,LPC may
742,sound 's generator
743,Latency results
744,longer segment
745,Often
746,latency refers
747,latency
748,hence
749,quantization
750,Because interframe compression
751,referred
752,audio coding systems
753,A literature compendium
754,also active
755,Oscar Bonello
756,Oscar Bonello
757,broadcast automation system
758,Compression
759,Uncompressed video requires
760,Highly compressed video may present visible
761,Some video compression schemes typically operate
762,compared
763,Commonly
764,Video data may
765,manner similar
766,The sequence
767,This longer command still remains much shorter
768,0
769,video sequence needs
770,frames nearby
771,Some video formats
772,one
773,The majority
774,widely used
775,DWT
776,Genetics compression algorithms
777,minor allele frequency
778,1200-fold—allowing 6 billion
779,These terms
780,Iranian
781,Iranic
782,0
783,Sassanid Iran
784,0
785,'' form
786,The name
787,1836
788,Christian Lassen
789,Robert Needham Cust
790,1878
791,Central Asia
792,branch
793,Andronovo
794,2000
795,like
796,languages
797,known
798,Arabic
799,least hypothetical ``
800,520
801,CE
802,The multitude
803,use
804,The script used
805,'Younger
806,originated
807,called ``
808,Two
809,languages form
810,languages form
811,In turn
812,first-series palatal consonants
813,turn
814,Two
815,consonant clusters *ćw
816,second half
817,The multitude
818,distinct dialect groups
819,two
820,Two
821,Khwarezmian
822,Middle Iranian
823,Aramaic-derived
824,inscribed
825,Unlike
826,Unlike
827,literary languages
828,Manichaean texts
829,stage
830,official language
831,particular
832,875
833,''
834,This new prestige dialect became
835,8th
836,Latinised
837,1920s
838,0
839,south-western
840,Iranian
841,AD
842,barely survives
843,This resulted
844,France
845,Its capital
846,du
847,producer
848,About half
849,seized control
850,late
851,establishment
852,three
853,Songhai Empire
854,northern
855,January
856,secession
857,In response
858,Presidential elections
859,Moroccan
860,The fall
861,persisted
862,Judar Pasha
863,Following
864,Keïta
865,Moussa Traoré
866,grew
867,1968
868,The subsequent military-led regime
869,1991
870,Peaceful student protests
871,Opposition
872,time strict programs
873,government supposedly lived
874,26
875,mass pro-democracy rallies
876,Traoré
877,300
878,Anti-government protests
879,0
880,three
881,national holiday
882,later tried
883,part
884,Amadou Toumani Touré
885,growing refusal
886,growing refusal
887,consequence
888,draft
889,Tuareg
890,December
891,rebellion began
892,sanctions
893,discrimination
894,lies
895,southernmost area
896,time
897,Niger River
898,climate classification
899,1999
900,judicial branches
901,two
902,two
903,judicial branches
904,0
905,'s sole legislative body
906,held
907,two
908,0
909,'s highest courts
910,Mali
911,provides judicial review
912,provides judicial review
913,local disputes
914,1988
915,underwent economic reform
916,1996
917,sixteen
918,Two
919,48
920,"1,000"
921,The death rate
922,world 's highest rates
923,53.06
924,descended
925,descended
926,population kept slaves well
927,Tamasheq
928,historical spread
929,Although
930,Malian
931,Islamists
932,There still persist certain hereditary servitude relationships
933,Due
934,Efforts
935,'s health
936,old
937,estimated
938,safe drinking water
939,Mali
940,Efforts
941,The aim
942,women could make
943,traditional recipe di-dèguè comprising peanut paste
944,number
945,Malaria
946,female genital mutilation
947,adult
948,child malnutrition
949,Malian musical traditions
950,Malian
951,Dance parties
952,late
953,artists
954,'s residents
955,"738,432"
956,dominated
957,U.S
958,Quaker
959,U.S
960,largest
961,500
962,eastern hemisphere
963,United States
964,largest
965,U.S
966,initial non-indigenous settlement occurred
967,National Petroleum Reserve–Alaska
968,United States
969,mostly tundra peppered
970,"34,000"
971,home
972,Also
973,'s
974,home
975,also
976,U.S
977,87 million
978,35 million
979,world 's
980,101 million
981,101 million
982,Smaller portions
983,private landowner
984,Limited
985,open market starting
986,0
987,average daytime high temperature
988,Köppen
989,130
990,The climate
991,The western part
992,The western part
993,10
994,permission
995,three
996,0
997,well known
998,Gwich'in
999,The remaining population
1000,Native Alaskans
1001,established
1002,Semyon Dezhnyov
1003,0
1004,visited
1005,gold rushes
1006,organized territory
1007,1906
1008,southeast
1009,also offers
1010,officially proclaimed
1011,1946
1012,congressional delegate
1013,also within
1014,July
1015,Good Friday
1016,resultant tsunamis
1017,earthquake killed
1018,earthquake killed
1019,powerful
1020,20
1021,20
1022,0
1023,2014
1024,34
1025,residents
1026,Washington
1027,The temperature
1028,First Russian Orthodox Church
1029,helped
1030,Quaker
1031,"6,000"
1032,Its per capita personal income
1033,Its per capita personal income
1034,80
1035,'s main export product excluding oil
1036,significant part
1037,Federal subsidies
1038,Its industrial outputs
1039,contributed
1040,Trans-Alaska Pipeline
1041,Trans-Alaska Pipeline
1042,North Slope
1043,"400,000"
1044,The area
1045,2.1 million
1046,"2,420"
1047,Large swaths
1048,Large swaths
1049,Though wind
1050,30–60¢
1051,urban
1052,'s economy depends heavily
1053,'s economy depends heavily
1054,become
1055,1976
1056,17th
1057,Keith Miller
1058,1969
1059,discourage dedicating state funds
1060,mostly due
1061,invested conservatively outside
1062,"734,000"
1063,fund
1064,one
1065,also
1066,0
1067,0
1068,Delta-area crops consist predominately
1069,lies another concentration
1070,state program spearheaded
1071,transported
1072,customized transport
1073,Fuel cost per gallon
1074,3.8
1075,city
1076,communities
1077,road connections compared
1078,development
1079,2004
1080,20th
1081,North America
1082,one
1083,1970s
1084,'s well-developed state-owned ferry system known
1085,concert
1086,Inter-Island Ferry Authority
1087,many major airlines
1088,efficient form
1089,2 million
1090,Regular flights
1091,Alaska
1092,Airlines
1093,The bulk
1094,popular due
1095,0
1096,bush seaplane
1097,The world 's busiest seaplane base
1098,U.S
1099,The world 's busiest seaplane base
1100,transportation method
1101,The ``
1102,best known
1103,serum run
1104,famous
1105,'s internet
1106,1 billion
1107,350 million
1108,system
1109,depends primarily
1110,five
1111,seven
1112,This allows
1113,regularly supports
1114,one
1115,Lyndon B. Johnson
1116,No state
1117,University
1118,2006
1119,first
1120,public record
1121,public record
1122,All recording districts use
1123,established
1124,355
1125,contiguous
1126,United States
1127,2.88
1128,United States Census Bureau
1129,Alaska
1130,1941
1131,Larger towns usually
1132,Arctic National Wildlife Refuge
1133,The ferries transport vehicles
1134,Anchorage Symphony Orchestra
1135,Anchorage Opera
1136,many established music festivals
1137,MGM
1138,``
1139,``
1140,Hotel Roosevelt
1141,0
1142,international law entered
1143,In international law
1144,namely sovereign states
1145,fails
1146,always prevail
1147,fails
1148,fails
1149,loosely compared
1150,A treaty
1151,amended treaty
1152,A treaty
1153,also
1154,A treaty
1155,followed
1156,executing
1157,long sentence formatted
1158,Modern preambles
1159,contracting parties
1160,boilerplate clause
1161,respective states
1162,According
1163,The signatures
1164,0
1165,According
1166,substance
1167,Each article heading usually encompasses
1168,A long treaty may
1169,A long treaty may
1170,International tribunals
1171,0
1172,copies
1173,final authentic
1174,The date
1175,parties
1176,The signatures
1177,formal
1178,copies
1179,0
1180,0
1181,later reprinted
1182,0
1183,treaties currently
1184,effect
1185,two
1186,however
1187,EU
1188,member states severally—it
1189,EU
1190,A multilateral treaty
1191,party
1192,attack
1193,citation needed
1194,A multilateral treaty
1195,state 's acceptance
1196,reserving state
1197,0
1198,Many treaties expressly forbid withdrawal
1199,reserving state
1200,permissive rule regarding reservations
1201,extent
1202,rejecting
1203,rejecting
1204,unless
1205,0
1206,0
1207,unless
1208,accept
1209,reserving state
1210,three
1211,State
1212,text adopted
1213,agreed upon
1214,parties
1215,international agreement
1216,add additional provisions
1217,required
1218,first agreement
1219,amend
1220,Sometimes
1221,UNFCCC
1222,UNFCCC
1223,UNFCCC
1224,UNFCCC
1225,party puts
1226,fulfill treaty obligations
1227,fulfill treaty obligations
1228,mandating local prosecution
1229,obligations
1230,non-self-executing treaty
1231,direct
1232,state party
1233,The division
1234,since
1235,International legal experts also often invoke
1236,effect possible
1237,`` ordinary meaning given
1238,A party 's consent
1239,executed
1240,impose
1241,however
1242,particularly
1243,adding another clause
1244,Consent
1245,International tribunals
1246,International tribunals
1247,negotiation
1248,well
1249,well
1250,compacts
1251,compacts
1252,compacts
1253,nations
1254,often
1255,party wishes
1256,party wishes
1257,discussions
1258,discussions
1259,documents
1260,consent
1261,formation
1262,internationally considered
1263,convention
1264,consent
1265,Many treaties expressly forbid withdrawal
1266,necessarily permanently binding upon
1267,provides
1268,treaty
1269,held
1270,possible
1271,0
1272,International Covenant
1273,withdraw
1274,sovereignty
1275,react
1276,one
1277,Consequently
1278,time
1279,considered terminated
1280,considered terminated
1281,every
1282,successful
1283,considered terminated
1284,A material breach may also
1285,parties may invoke
1286,grounds
1287,0
1288,party puts
1289,determined
1290,prevents
1291,automatically suspend
1292,A treaty breach
1293,parties regard
1294,automatically terminated
1295,set
1296,meant
1297,meant
1298,temporarily binding
1299,A party may claim
1300,change brought
1301,redrew political boundaries
1302,express provision
1303,express provision
1304,Banu Qaynuqa
1305,treaty known
1306,0
1307,pinning
1308,pinning
1309,Invasion
1310,Al-Waqidi
1311,600-900
1312,woman beheaded according
1313,Two
1314,0
1315,Japan-Korea
1316,protested
1317,Japan-Korea
1318,binding international agreement
1319,A party 's consent
1320,proper authority
1321,`` manifest violation ''
1322,processes
1323,invalid
1324,negotiations
1325,0
1326,negotiations
1327,0
1328,Treaties
1329,case
1330,treaties
1331,assume international legality even
1332,condemned
1333,invalidated—considered unenforceable
1334,due
1335,due
1336,invalidated—considered unenforceable
1337,invalidation
1338,erroneous understanding
1339,misunderstanding
1340,A state 's consent may
1341,invalidated
1342,time
1343,direct
1344,A party 's consent
1345,use
1346,representative
1347,obtain
1348,void
1349,customary law
1350,hostilities directed
1351,unlike
1352,meaning
1353,enforced
1354,UN
1355,states
1356,prevent
1357,members obligations
1358,well
1359,follow
1360,0
1361,amendments
1362,amendments
1363,UN
1364,UN
1365,citation needed
1366,citation needed
1367,citation needed
1368,federal constitution states
1369,ratification
1370,presidential decree published
1371,0
1372,federal constitution states
1373,established
1374,2008
1375,special procedure enjoy
1376,relation
1377,Federal Supreme Court
1378,one
1379,interest
1380,interest
1381,fact
1382,calls treaties
1383,calls treaties
1384,two-thirds
1385,President
1386,either
1387,calls treaties
1388,And finally
1389,parties
1390,complex legal obligations
1391,Iran
1392,`` treaties ''
1393,Congress
1394,Covert
1395,U.S
1396,null
1397,lists -Union
1398,Union
1399,Parliament
1400,subject overriding
1401,Parliament
1402,many parts
1403,attempted
1404,attempted
1405,world
1406,attempted
1407,use
1408,using
1409,local governments
1410,least mitigate
1411,local governments
1412,treaties allowed native peoples
1413,indigenous peoples entitling
1414,terra nullius later overturned
1415,Mabo
1416,colonizers
1417,tribe shall
1418,provide similar contractual relations
1419,3
1420,treaty making
1421,ch
1422,released
1423,released
1424,Wolfmother
1425,It featured
1426,''
1427,trio
1428,Fly
1429,Tensions
1430,Bon Jovi
1431,Bon Jovi
1432,still able
1433,10 million
1434,group
1435,emerged
1436,Sammy Hagar
1437,released
1438,ACDC produced
1439,These Days
1440,initial impetus
1441,one
1442,Tensions
1443,Hard rock began losing popularity
1444,1980s
1445,hard rock bands moved away
1446,1980s
1447,Link Wray
1448,1958
1449,surf rock instrumentals
1450,jazz
1451,developed
1452,''
1453,particularly
1454,Coverdale
1455,Axl Rose
1456,Brian Johnson
1457,0
1458,original singer
1459,No More Tears
1460,number
1461,1990
1462,1990
1463,followed
1464,'s
1465,spot
1466,1993
1467,Sweden
1468,Wolfmother
1469,managed
1470,made
1471,Jimi Hendrix
1472,Wolf
1473,1965
1474,Tensions
1475,1966
1476,1993
1477,Axl Rose
1478,2005
1479,Tensions
1480,Bon Jovi
1481,Dry
1482,released
1483,1987
1484,music charts
1485,1983
1486,The multi-platinum releases
1487,1980s
1488,initial impetus
1489,1975
1490,unusual among
1491,one
1492,Bon Jovi
1493,Bon Jovi
1494,Dave Grohl
1495,Bon Jovi
1496,The electric guitar
1497,The bass guitar works
1498,distortion
1499,strong bass drum
1500,occasionally playing riffs
1501,Axl Rose
1502,Axl Rose
1503,The bass guitar works
1504,1993
1505,The Kinks
1506,Alice Cooper
1507,classic album
1508,Axl Rose
1509,0
1510,0
1511,Led Zeppelin
1512,emerged
1513,1993
1514,''
1515,Boston
1516,would
1517,0
1518,Gary Cherone
1519,0
1520,0
1521,used interchangeably
1522,`` dirty '' sound
1523,developed
1524,Also influenced
1525,The creation
1526,1970
1527,Led Zeppelin
1528,Paranoid
1529,Paranoid
1530,'s breakthrough
1531,1980s
1532,around
1533,Midwestern groups like
1534,emerged
1535,around
1536,17 million
1537,'s comeback album
1538,1987
1539,released
1540,original lineup
1541,former members
1542,still able
1543,ACDC
1544,Axl Rose
1545,Chinese Democracy
1546,oldest college
1547,the U.S
1548,City
1549,Atlantic Ocean
1550,``
1551,oldest
1552,Atlantic Ocean
1553,peninsula
1554,It took
1555,1783
1556,1670
1557,City
1558,form
1559,It took
1560,0
1561,City
1562,"548,404"
1563,west bank
1564,The city also
1565,expansion
1566,47.9
1567,2013
1568,Mount Pleasant
1569,Summer
1570,September
1571,occasional rain
1572,single-storm
1573,Winter
1574,Summer
